Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,HIV deaths,,HIV diagnoses,,HIV prevalence,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"2009","New Mexico","110","6.7","40","2.4","1,374","83.9","56","3.4","160","9.8","2,257","137.9"
"2009","New York","3,243","19.8","2,046","12.5","71,653","436.6","2,353","14.3","4,157","25.3","114,976","700.7"
"2009","North Carolina","943","12.2","432","5.6","9,172","118.9","628","8.1","1,570","20.4","22,686","294.1"
"2009","North Dakota","11","2.0","3","0.6","82","15.1","5","0.9","13","2.4","172","31.6"
"2009","Ohio","655","6.8","268","2.8","7,642","79.5","332","3.5","1,042","10.8","16,154","168.0"
"2009","Oklahoma^","171","5.7","103","3.4","2,215","73.5","127","4.2","293","9.7","4,519","149.9"
"2009","Oregon","198","6.2","77","2.4","2,990","93.5","92","2.9","248","7.8","4,688","146.6"
"2009","Pennsylvania","1,061","10.0","568","5.3","16,991","159.4","711","6.7","1,645","15.4","28,369","266.1"
"2009","Rhode Island","79","8.8","41","4.6","1,292","144.4","42","4.7","118","13.2","1,969","220.1"
"2009","South Carolina^","602","15.9","318","8.4","7,296","193.0","371","9.8","750","19.8","13,549","358.4"
"2009","South Dakota","14","2.1","10","1.5","152","22.8","13","1.9","24","3.6","385","57.6"
"2009","Tennessee","574","11.0","324","6.2","6,700","128.4","422","8.1","926","17.7","13,801","264.4"
"2009","Texas","2,859","14.5","1,263","6.4","34,776","176.8","1,503","7.6","4,347","22.1","60,925","309.8"
"2009","Utah","66","3.1","27","1.3","1,215","57.1","31","1.5","122","5.7","2,216","104.2"
"2009","Vermont","8","1.5","5","0.9","239","44.7","9","1.7","17","3.2","391","73.1"
"2009","Virginia","545","8.3","289","4.4","8,836","135.0","378","5.8","975","14.9","18,875","288.4"
"2009","Washington","371","6.7","164","3.0","5,937","107.3","192","3.5","520","9.4","9,774","176.7"
"2009","West Virginia","57","3.7","28","1.8","753","48.7","36","2.3","73","4.7","1,342","86.9"
"2009","Wisconsin","163","3.5","86","1.8","2,323","49.2","102","2.2","277","5.9","4,776","101.1"
"2009","Wyoming","10","2.2","4","0.9","109","24.3","4","0.9","20","4.5","201","44.9"
"2010","Alabama^","244","6.1","184","4.6","4,447","111.7","268","6.7","682","17.1","10,571","265.6"
"2010","Alaska","31","5.4","12","2.1","371","64.2","16","2.8","37","6.4","641","110.9"
"2010","Arizona","470","9.0","166","3.2","6,305","120.6","198","3.8","615","11.8","12,058","230.6"
"2010","Arkansas","151","6.3","86","3.6","2,068","85.9","113","4.7","230","9.6","4,207","174.7"
"2010","California","3,106","10.1","1,277","4.2","64,475","209.7","1,539","5.0","5,270","17.1","105,573","343.3"
"2010","Colorado","273","6.6","113","2.7","4,341","104.6","137","3.3","420","10.1","9,595","231.1"
"2010","Connecticut","294","9.8","183","6.1","6,572","218.1","210","7.0","387","12.8","10,000","331.8"
"2010","Delaware","92","12.2","62","8.2","1,847","245.3","77","10.2","124","16.5","2,937","390.1"
"2010","District of Columbia","453","85.3","218","41.1","7,959","1499.0","253","47.7","788","148.4","13,985","2634.0"
"2010","Florida","3,140","19.6","1,717","10.7","50,213","313.5","2,022","12.6","4,639","29.0","87,818","548.2"
"2010","Georgia","1,614","20.4","737","9.3","21,859","276.2","893","11.3","2,612","33.0","40,196","508.0"
"2010","Hawaii","66","5.8","32","2.8","1,470","128.5","35","3.1","101","8.8","2,342","204.7"
"2010","Idaho","49","3.9","12","1.0","431","34.3","15","1.2","45","3.6","849","67.5"
"2010","Illinois","1,017","9.6","536","5.0","16,168","152.2","657","6.2","1,650","15.5","29,818","280.7"
"2010","Indiana","312","5.8","147","2.8","4,664","87.3","170","3.2","485","9.1","8,614","161.3"
"2010","Iowa","72","2.8","23","0.9","1,174","46.5","28","1.1","114","4.5","1,981","78.4"
"2010","Kansas","87","3.7","40","1.7","1,468","63.0","49","2.1","135","5.8","2,589","111.2"
"2010","Kentucky","205","5.7","95","2.6","2,862","79.3","119","3.3","330","9.1","5,289","146.5"
"2010","Louisiana","795","21.3","365","9.8","8,448","226.0","453","12.1","1,111","29.7","15,609","417.6"
"2010","Maine","27","2.4","18","1.6","689","60.6","21","1.8","55","4.8","1,250","109.9"
"2010","Maryland","1,000","20.7","508","10.5","15,612","323.2","609","12.6","1,717","35.5","27,623","571.9"
"2010","Massachusetts","430","7.7","226","4.1","10,226","183.5","278","5.0","702","12.6","17,033","305.6"
"2010","Michigan","524","6.4","251","3.0","7,181","87.1","310","3.8","764","9.3","13,208","160.1"
"2010","Minnesota","175","4.0","66","1.5","3,062","69.8","76","1.7","334","7.6","6,440","146.7"
"2010","Mississippi","338","13.9","153","6.3","3,645","150.1","205","8.4","454","18.7","7,777","320.2"
"2010","Missouri","326","6.6","174","3.5","5,507","110.6","208","4.2","567","11.4","10,022","201.4"
"2010","Montana","18","2.2","10","1.2","258","31.0","11","1.3","20","2.4","421","50.7"
