Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,Acute Viral Hepatitis B,,Acute Viral Hepatitis C,,Chlamydia,,Congenital Syphilis,,Early Non-Primary Non-Secondary Syphilis,,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),,Gonorrhea,,HIV deaths,,HIV diagnoses,,HIV prevalence,,HIV viral suppression,,Hepatitis  A,,Knowledge of Status,,Linkage to HIV care,,PrEP coverage and number of persons prescribed,,Primary and Secondary Syphilis,,Receipt of HIV medical care,
,,Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"2019","Arizona","4.2","NA","2.7","NA","129.9","NA","Data not available","NA","Data not available","NA","704.5","NA","Data not available","NA","19.3","NA","13.1 (7.2 - 19.1)","NA","335.8 (319.2 - 352.3)","NA","248.3","NA","3.7","NA","12.5","NA","283.1","NA","NA","62.1","Data not available","NA","NA","83.5 (79.6 - 87.8, 2.5)","NA","82.8","NA","17.6","Data suppressed","NA","NA","74.5"
"2019","Arkansas","5.4","NA","2.8","NA","105.9","NA","Data not available","NA","Data not available","NA","682.9","NA","Data not available","NA","10.6","NA","13.1 (4.0 - 22.2)","NA","287.2 (262.7 - 311.7)","NA","274.3","NA","3.9","NA","11.4","NA","236.0","NA","NA","47.9","Data not available","NA","NA","81.5 (75.1 - 89.1, 4.4)","NA","79.8","NA","14.4","Data suppressed","NA","NA","65.6"
"2019","California","5.5","NA","4.1","NA","211.3","NA","Data not available","NA","Data not available","NA","712.5","NA","Data not available","NA","25.0","NA","12.1 (9.8 - 14.3)","NA","455.3 (447.1 - 463.6)","NA","241.7","NA","5.3","NA","13.1","NA","401.1","NA","NA","67.6","Data not available","NA","NA","87.6 (86.0 - 89.2, 0.9)","NA","82.7","NA","25.1","24.9","NA","NA","76.8"
"2019","Colorado","4.3","NA","1.9","NA","114.2","NA","Data not available","NA","Data not available","NA","613.1","NA","Data not available","NA","9.3","NA","10.6 (4.7 - 16.4)","NA","306.4 (289.5 - 323.3)","NA","196.8","NA","2.5","NA","9.5","NA","267.9","NA","NA","59.9","Data not available","NA","NA","86.8 (82.3 - 91.9, 2.8)","NA","83.5","NA","17.2","10.0","NA","NA","67.1"
"2019","Connecticut","4.1","NA","5.5","NA","207.3","NA","Data not available","NA","Data not available","NA","497.8","NA","Data not available","NA","5.2","NA","5.3 (0.2 - 10.4)","NA","373.3 (349.0 - 397.6)","NA","143.9","NA","6.6","NA","7.0","NA","346.0","NA","NA","68.0","Data not available","NA","NA","91.1 (85.5 - 97.4, 3.3)","NA","87.3","NA","27.8","6.8","NA","NA","80.5"
"2019","Delaware","6.2","NA","6.4","NA","242.9","NA","Data not available","NA","Data not available","NA","706.8","NA","Data not available","NA","7.8","NA","Data suppressed","NA","451.1 (402.3 - 501.9)","NA","194.7","NA","8.1","NA","11.2","NA","408.2","NA","NA","74.7","Data not available","NA","NA","89.2 (80.2 - 100.0, 5.7)","NA","76.3","NA","10.8","11.3","NA","NA","83.7"
"2019","District of Columbia","19.9","NA","21.9","NA","1233.9","NA","Data not available","NA","Data not available","NA","1536.6","NA","Data not available","NA","68.6","NA","31.5 (7.9 - 55.2)","NA","2451.2 (2311.5 - 2590.9)","NA","723.7","NA","30.5","NA","42.2","NA","2325.4","NA","NA","58.7","Data not available","NA","NA","94.0 (88.9 - 99.7, 2.9)","NA","82.4","NA","44.8","51.0","NA","NA","68.7"
"2019","Florida","10.9","NA","8.2","NA","322.8","NA","Data not available","NA","Data not available","NA","600.2","NA","Data not available","NA","Data suppressed","NA","21.7 (17.9 - 25.5)","NA","702.1 (688.3 - 715.8)","NA","199.4","NA","10.5","NA","23.7","NA","615.0","NA","NA","67.0","Data not available","NA","NA","86.5 (84.8 - 88.2, 1.0)","NA","83.6","NA","17.3","Data suppressed","NA","NA","77.1"
"2019","Georgia","12.0","NA","7.1","NA","315.9","NA","Data not available","NA","Data not available","NA","764.7","NA","Data not available","NA","19.6","NA","26.9 (20.0 - 33.9)","NA","756.5 (736.3 - 776.7)","NA","240.1","NA","9.1","NA","27.6","NA","638.5","NA","NA","61.6","Data not available","NA","NA","83.6 (81.5 - 85.9, 1.3)","NA","80.4","NA","22.0","19.8","NA","NA","73.3"
"2019","Hawaii","2.2","NA","3.2","NA","112.8","NA","Data not available","NA","Data not available","NA","676.2","NA","Data not available","NA","8.0","NA","Data suppressed","NA","225.8 (198.3 - 257.3)","NA","124.7","NA","3.6","NA","5.4","NA","199.8","NA","NA","75.8","Data not available","NA","NA","87.8 (77.1 - 100.0, 6.7)","NA","84.6","NA","18.6","10.0","NA","NA","82.8"
"2019","Idaho","1.2","NA","0.7","NA","41.4","NA","Data not available","NA","Data not available","NA","466.7","NA","Data not available","NA","2.7","NA","Data suppressed","NA","100.3 (82.6 - 121.6)","NA","101.3","NA","0.7","NA","1.9","NA","84.0","NA","NA","Data not available","Data not available","NA","NA","82.3 (67.9 - 100.0, 9.9)","NA","Data not available","NA","9.8","3.2","NA","NA","Data not available"
"2019","Illinois","4.9","NA","3.7","NA","164.7","NA","Data not available","NA","Data not available","NA","758.4","NA","Data not available","NA","Data suppressed","NA","11.3 (7.4 - 15.3)","NA","384.4 (370.7 - 398.0)","NA","274.0","NA","5.0","NA","11.7","NA","335.7","NA","NA","55.3","Data not available","NA","NA","86.5 (83.6 - 89.7, 1.8)","NA","83.2","NA","29.7","12.9","NA","NA","70.5"
"2019","Indiana","3.5","NA","2.0","NA","101.0","NA","Data not available","NA","Data not available","NA","630.2","NA","Data not available","NA","5.8","NA","9.7 (4.3 - 15.1)","NA","248.0 (232.8 - 263.3)","NA","212.1","NA","2.5","NA","8.7","NA","207.3","NA","NA","60.2","Data not available","NA","NA","82.6 (77.8 - 88.1, 3.2)","NA","63.2","NA","13.4","Data suppressed","NA","NA","72.4"
"2019","Iowa","1.6","NA","1.6","NA","56.9","NA","Data not available","NA","Data not available","NA","609.0","NA","Data not available","NA","3.8","NA","Data suppressed","NA","129.7 (114.6 - 144.8)","NA","201.4","NA","2.2","NA","3.8","NA","109.6","NA","NA","81.7","Data not available","NA","NA","83.5 (74.8 - 94.5, 6.0)","NA","91.0","NA","29.8","5.0","NA","NA","88.0"
"2019","Kansas","2.0","NA","1.0","NA","65.9","NA","Data not available","NA","Data not available","NA","633.5","NA","Data not available","NA","11.7","NA","8.8 (1.5 - 16.1)","NA","158.9 (139.6 - 178.1)","NA","205.0","NA","1.2","NA","5.4","NA","131.6","NA","NA","Data not available","Data not available","NA","NA","82.0 (73.1 - 93.3, 6.3)","NA","Data not available","NA","17.9","7.8","NA","NA","Data not available"
"2019","Kentucky","3.9","NA","2.1","NA","96.0","NA","Data not available","NA","Data not available","NA","555.5","NA","Data not available","NA","Data suppressed","NA","9.1 (3.2 - 15.0)","NA","242.8 (225.5 - 260.2)","NA","196.0","NA","2.8","NA","8.7","NA","203.8","NA","NA","Data not available","Data not available","NA","NA","83.2 (77.6 - 89.6, 3.7)","NA","Data not available","NA","12.4","11.7","NA","NA","Data not available"
"2019","Louisiana","11.1","NA","7.5","NA","276.8","NA","Data not available","NA","Data not available","NA","935.1","NA","Data not available","NA","14.9","NA","22.6 (12.7 - 32.5)","NA","660.1 (629.1 - 691.1)","NA","331.2","NA","9.5","NA","22.8","NA","551.4","NA","NA","68.3","Data not available","NA","NA","82.9 (79.1 - 86.9, 2.4)","NA","82.0","NA","24.6","18.1","NA","NA","79.2"
"2019","Maine","1.8","NA","2.7","NA","69.6","NA","Data not available","NA","Data not available","NA","140.7","NA","Data not available","NA","4.5","NA","Data suppressed","NA","156.1 (139.2 - 180.7)","NA","46.7","NA","3.3","NA","2.6","NA","140.9","NA","NA","81.0","Data not available","NA","NA","89.2 (77.0 - 100.0, 6.6)","NA","93.3","NA","16.2","4.7","NA","NA","84.8"
"2019","Maryland","9.5","NA","8.4","NA","342.5","NA","Data not available","NA","Data not available","NA","742.2","NA","Data not available","NA","19.5","NA","14.5 (8.5 - 20.5)","NA","722.3 (696.1 - 748.5)","NA","227.9","NA","11.1","NA","18.0","NA","656.2","NA","NA","64.9","Data not available","NA","NA","89.4 (86.3 - 92.8, 1.9)","NA","86.9","NA","18.1","17.1","NA","NA","73.7"
"2019","Massachusetts","4.1","NA","2.2","NA","190.3","NA","Data not available","NA","Data not available","NA","531.9","NA","Data not available","NA","10.5","NA","8.9 (4.6 - 13.2)","NA","389.3 (372.2 - 406.4)","NA","124.3","NA","2.8","NA","9.0","NA","354.6","NA","NA","71.1","Data not available","NA","NA","89.7 (85.9 - 93.8, 2.2)","NA","90.8","NA","37.3","Data suppressed","NA","NA","78.8"
"2019","Michigan","3.7","NA","2.5","NA","97.0","NA","Data not available","NA","Data not available","NA","590.9","NA","Data not available","NA","6.6","NA","7.4 (3.8 - 11.0)","NA","229.7 (217.5 - 241.9)","NA","214.1","NA","3.2","NA","8.0","NA","195.8","NA","NA","73.7","Data not available","NA","NA","84.2 (80.0 - 88.9, 2.7)","NA","83.8","NA","14.8","Data suppressed","NA","NA","83.8"
"2019","Minnesota","2.6","NA","1.2","NA","84.0","NA","Data not available","NA","Data not available","NA","520.0","NA","Data not available","NA","7.8","NA","5.4 (1.4 - 9.5)","NA","210.7 (196.9 - 224.4)","NA","170.3","NA","1.7","NA","5.8","NA","187.4","NA","NA","69.5","Data not available","NA","NA","87.8 (82.4 - 93.9, 3.3)","NA","91.2","NA","19.3","8.2","NA","NA","78.6"
"2019","Mississippi","9.6","NA","3.4","NA","191.9","NA","Data not available","NA","Data not available","NA","1019.3","NA","Data not available","NA","49.1","NA","22.1 (7.8 - 36.3)","NA","488.3 (451.9 - 524.6)","NA","486.4","NA","5.2","NA","19.2","NA","396.7","NA","NA","53.9","Data not available","NA","NA","80.3 (74.7 - 86.7, 3.8)","NA","71.1","NA","20.7","27.8","NA","NA","73.0"
"2019","Missouri","4.5","NA","3.2","NA","124.6","NA","Data not available","NA","Data not available","NA","666.9","NA","Data not available","NA","12.5","NA","8.7 (4.2 - 13.1)","NA","282.1 (266.0 - 298.2)","NA","302.1","NA","4.4","NA","9.5","NA","248.3","NA","NA","67.2","Data not available","NA","NA","87.3 (82.6 - 92.6, 2.9)","NA","77.0","NA","18.9","15.8","NA","NA","78.2"
"2019","Montana","1.1","NA","0.8","NA","37.7","NA","Data not available","NA","Data not available","NA","523.5","NA","Data not available","NA","2.8","NA","Data suppressed","NA","83.2 (73.7 - 101.3)","NA","176.2","NA","0.9","NA","2.8","NA","74.0","NA","NA","83.9","Data not available","NA","NA","88.5 (72.7 - 100.0, 7.9)","NA","88.0","NA","11.7","7.4","NA","NA","89.2"
"2019","Nebraska","2.5","NA","1.0","NA","67.6","NA","Data not available","NA","Data not available","NA","583.5","NA","Data not available","NA","2.9","NA","Data suppressed","NA","162.9 (141.0 - 184.8)","NA","186.5","NA","1.9","NA","5.1","NA","140.6","NA","NA","63.0","Data not available","NA","NA","85.1 (75.0 - 98.3, 7.0)","NA","80.2","NA","28.2","8.5","NA","NA","76.8"
"2019","Nevada","8.1","NA","2.6","NA","193.0","NA","Data not available","NA","Data not available","NA","690.3","NA","Data not available","NA","20.2","NA","28.9 (14.7 - 43.0)","NA","511.8 (479.7 - 544.0)","NA","252.3","NA","3.4","NA","19.8","NA","415.8","NA","NA","57.8","Data not available","NA","NA","80.6 (75.8 - 86.0, 3.2)","NA","83.0","NA","19.0","Data suppressed","NA","NA","68.9"
"2019","New Hampshire","0.8","NA","0.9","NA","52.6","NA","Data not available","NA","Data not available","NA","302.2","NA","Data not available","NA","4.1","NA","Data suppressed","NA","118.0 (108.4 - 138.0)","NA","34.6","NA","1.3","NA","2.6","NA","110.4","NA","NA","75.8","Data not available","NA","NA","91.9 (78.6 - 100.0, 5.9)","NA","87.1","NA","20.5","4.0","NA","NA","81.9"
"2019","New Jersey","6.1","NA","6.2","NA","236.4","NA","Data not available","NA","Data not available","NA","500.0","NA","Data not available","NA","11.0","NA","13.2 (7.8 - 18.6)","NA","521.6 (500.5 - 542.7)","NA","127.9","NA","8.2","NA","14.1","NA","468.0","NA","NA","Data not available","Data not available","NA","NA","88.2 (84.8 - 92.0, 2.1)","NA","Data not available","NA","22.4","8.4","NA","NA","Data not available"
"2019","New Mexico","2.6","NA","1.9","NA","111.8","NA","Data not available","NA","Data not available","NA","811.4","NA","Data not available","NA","11.5","NA","9.4 (1.3 - 17.6)","NA","244.5 (220.4 - 268.7)","NA","277.2","NA","3.0","NA","8.9","NA","212.2","NA","NA","60.4","Data not available","NA","NA","86.2 (78.5 - 95.7, 5.1)","NA","88.5","NA","15.8","29.0","NA","NA","74.4"
"2019","New York","7.9","NA","8.7","NA","432.2","NA","Data not available","NA","Data not available","NA","751.1","NA","Data not available","NA","26.4","NA","11.0 (8.0 - 14.0)","NA","808.8 (793.5 - 824.2)","NA","246.8","NA","10.8","NA","14.1","NA","765.0","NA","NA","65.9","Data not available","NA","NA","92.7 (90.9 - 94.5, 1.0)","NA","87.0","NA","48.2","Data suppressed","NA","NA","74.6"
"2019","North Carolina","5.9","NA","3.8","NA","165.0","NA","Data not available","NA","Data not available","NA","793.3","NA","Data not available","NA","11.2","NA","13.8 (9.8 - 17.9)","NA","420.2 (405.9 - 434.5)","NA","297.9","NA","5.4","NA","15.4","NA","373.0","NA","NA","67.3","Data not available","NA","NA","87.8 (84.9 - 90.9, 1.7)","NA","78.9","NA","16.5","12.7","NA","NA","77.4"
"2019","North Dakota","2.7","NA","0.3","NA","34.9","NA","Data not available","NA","Data not available","NA","617.6","NA","Data not available","NA","1.6","NA","Data suppressed","NA","120.3 (77.1 - 163.9)","NA","230.1","NA","0.3","NA","6.4","NA","78.6","NA","NA","71.1","Data not available","NA","NA","64.1 (47.1 - 100.0, 21.1)","NA","90.0","NA","12.7","7.2","NA","NA","81.4"
"2019","Ohio","4.8","NA","2.7","NA","109.8","NA","Data not available","NA","Data not available","NA","662.9","NA","Data not available","NA","5.3","NA","8.8 (5.3 - 12.4)","NA","275.0 (263.4 - 286.6)","NA","264.3","NA","3.9","NA","9.9","NA","235.3","NA","NA","62.9","Data not available","NA","NA","84.8 (81.3 - 88.5, 2.2)","NA","83.6","NA","15.1","7.6","NA","NA","75.5"
"2019","Oklahoma^","3.4","NA","3.4","NA","91.3","NA","Data not available","NA","Data not available","NA","718.8","NA","Data not available","NA","10.4","NA","11.3 (3.9 - 18.7)","NA","233.0 (213.1 - 252.8)","NA","320.6","NA","4.0","NA","9.8","NA","194.2","NA","NA","58.4","Data not available","NA","NA","82.7 (76.2 - 90.4, 4.4)","NA","69.4","NA","10.3","24.2","NA","NA","70.3"
"2019","Oregon","2.8","NA","2.8","NA","110.0","NA","Data not available","NA","Data not available","NA","535.3","NA","Data not available","NA","9.9","NA","5.7 (0.8 - 10.6)","NA","226.9 (210.6 - 243.1)","NA","170.1","NA","3.4","NA","5.5","NA","202.4","NA","NA","80.5","Data not available","NA","NA","88.6 (82.6 - 95.4, 3.7)","NA","86.9","NA","17.0","12.6","NA","NA","89.2"
"2019","Pennsylvania","4.8","NA","3.9","NA","179.6","NA","Data not available","NA","Data not available","NA","563.9","NA","Data not available","NA","10.4","NA","7.3 (4.1 - 10.5)","NA","367.8 (354.2 - 381.3)","NA","146.8","NA","5.3","NA","9.0","NA","333.9","NA","NA","Data not available","Data not available","NA","NA","89.3 (86.1 - 92.7, 1.9)","NA","Data not available","NA","27.7","9.1","NA","NA","Data not available"
"2019","Rhode Island","4.0","NA","3.7","NA","155.7","NA","Data not available","NA","Data not available","NA","624.0","NA","Data not available","NA","11.9","NA","Data suppressed","NA","316.9 (284.4 - 355.5)","NA","165.4","NA","4.4","NA","7.9","NA","289.7","NA","NA","79.2","Data not available","NA","NA","89.8 (80.0 - 100.0, 5.7)","NA","90.3","NA","27.9","11.0","NA","NA","85.4"
"2019","South Carolina^","7.4","NA","5.1","NA","211.7","NA","Data not available","NA","Data not available","NA","824.5","NA","Data not available","NA","15.6","NA","16.3 (8.1 - 24.5)","NA","478.5 (454.1 - 502.9)","NA","325.0","NA","6.9","NA","15.6","NA","404.0","NA","NA","70.7","Data not available","NA","NA","83.5 (79.4 - 88.0, 2.6)","NA","87.6","NA","16.6","11.9","NA","NA","81.0"
"2019","South Dakota","2.6","NA","1.1","NA","40.6","NA","Data not available","NA","Data not available","NA","626.0","NA","Data not available","NA","1.1","NA","Data suppressed","NA","111.9 (87.9 - 140.4)","NA","298.5","NA","1.2","NA","4.5","NA","89.8","NA","NA","51.9","Data not available","NA","NA","78.6 (62.6 - 100.0, 12.1)","NA","78.8","NA","16.3","6.6","NA","NA","81.9"
"2019","Tennessee","6.0","NA","4.2","NA","149.2","NA","Data not available","NA","Data not available","NA","714.0","NA","Data not available","NA","11.1","NA","12.3 (7.6 - 17.0)","NA","352.1 (334.9 - 369.3)","NA","278.5","NA","5.3","NA","13.4","NA","307.3","NA","NA","67.1","Data not available","NA","NA","86.4 (82.4 - 90.8, 2.5)","NA","69.1","NA","17.3","11.8","NA","NA","82.1"
"2019","Texas","8.0","NA","4.7","NA","196.6","NA","Data not available","NA","Data not available","NA","544.4","NA","Data not available","NA","Data suppressed","NA","18.9 (15.4 - 22.3)","NA","478.6 (468.6 - 488.6)","NA","186.0","NA","6.1","NA","18.2","NA","402.1","NA","NA","62.0","Data not available","NA","NA","83.3 (81.6 - 85.1, 1.1)","NA","74.6","NA","18.6","9.9","NA","NA","75.5"
"2019","Utah","1.9","NA","1.1","NA","57.6","NA","Data not available","NA","Data not available","NA","436.4","NA","Data not available","NA","4.7","NA","6.0 (0.4 - 11.6)","NA","142.2 (126.2 - 158.2)","NA","113.7","NA","1.4","NA","5.3","NA","121.7","NA","NA","71.0","Data not available","NA","NA","84.6 (76.0 - 95.3, 5.8)","NA","78.5","NA","29.6","5.4","NA","NA","77.6"
"2019","Vermont","0.6","NA","1.3","NA","68.5","NA","Data not available","NA","Data not available","NA","Data suppressed","NA","Data not available","NA","2.0","NA","Data suppressed","NA","145.7 (130.5 - 177.0)","NA","32.2","NA","1.5","NA","2.0","NA","132.7","NA","NA","Data not available","Data not available","NA","NA","89.6 (73.7 - 100.0, 7.5)","NA","Data not available","NA","31.8","2.0","NA","NA","Data not available"
"2019","Virginia","5.2","NA","3.2","NA","155.1","NA","Data not available","NA","Data not available","NA","668.7","NA","Data not available","NA","Data suppressed","NA","10.5 (6.1 - 14.9)","NA","373.0 (357.3 - 388.8)","NA","192.1","NA","4.2","NA","11.4","NA","329.0","NA","NA","63.2","Data not available","NA","NA","87.2 (83.6 - 91.0, 2.2)","NA","78.7","NA","14.0","9.2","NA","NA","69.8"
"2019","Washington","2.9","NA","2.3","NA","112.8","NA","Data not available","NA","Data not available","NA","587.5","NA","Data not available","NA","11.3","NA","8.4 (3.9 - 13.0)","NA","248.0 (234.6 - 261.4)","NA","183.1","NA","2.8","NA","7.5","NA","218.8","NA","NA","80.2","Data not available","NA","NA","87.3 (82.8 - 92.3, 2.8)","NA","89.4","NA","24.5","12.7","NA","NA","86.3"
"2019","West Virginia","2.5","NA","2.1","NA","66.2","NA","Data not available","NA","Data not available","NA","347.4","NA","Data not available","NA","5.4","NA","13.7 (2.8 - 24.7)","NA","157.7 (134.1 - 181.2)","NA","115.1","NA","2.9","NA","9.5","NA","129.2","NA","NA","64.0","Data not available","NA","NA","81.2 (70.6 - 95.4, 7.8)","NA","73.3","NA","10.9","5.1","NA","NA","74.3"
"2019","Wisconsin","2.3","NA","1.3","NA","62.9","NA","Data not available","NA","Data not available","NA","590.1","NA","Data not available","NA","3.9","NA","4.2 (0.8 - 7.6)","NA","149.5 (137.9 - 161.1)","NA","179.4","NA","1.7","NA","4.3","NA","131.9","NA","NA","76.7","Data not available","NA","NA","87.2 (80.9 - 94.5, 4.0)","NA","90.0","NA","19.0","3.6","NA","NA","82.9"
"2019","Wyoming","0.6","NA","0.8","NA","36.3","NA","Data not available","NA","Data not available","NA","Data suppressed","NA","Data not available","NA","2.1","NA","Data suppressed","NA","79.4 (69.4 - 105.8)","NA","92.8","NA","1.0","NA","2.7","NA","71.5","NA","NA","67.9","Data not available","NA","NA","87.4 (65.6 - 100.0, 10.0)","NA","100.0","NA","10.6","2.3","NA","NA","82.0"
