Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,Acute Viral Hepatitis B,,Acute Viral Hepatitis C,,Chlamydia,,Congenital Syphilis,,Early Non-Primary Non-Secondary Syphilis,,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),,Gonorrhea,,HIV deaths,,HIV diagnoses,,HIV prevalence,,HIV viral suppression,,Hepatitis  A,,Knowledge of Status,,Linkage to HIV care,,PrEP coverage and number of persons prescribed,,Primary and Secondary Syphilis,,Receipt of HIV medical care,
,,Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"2017","Maine","2.1","NA","2.1","NA","68.0","NA","Data not available","NA","Data not available","NA","391.9","NA","Data not available","NA","3.1","NA","Data suppressed","NA","152.6 (133.4 - 175.6)","NA","53.0","NA","3.0","NA","2.5","NA","134.9","NA","NA","79.0","Data not available","NA","NA","87.4 (76.0 - 100.0, 7.0)","NA","93.1","NA","9.6","5.5","NA","NA","85.0"
"2017","Maryland","11.5","NA","9.3","NA","343.7","NA","Data not available","NA","Data not available","NA","660.3","NA","Data not available","NA","13.5","NA","15.0 (10.1 - 19.8)","NA","718.2 (693.3 - 743.2)","NA","216.8","NA","11.9","NA","20.2","NA","644.6","NA","NA","57.8","Data not available","NA","NA","88.4 (85.4 - 91.6, 1.8)","NA","85.2","NA","9.6","11.3","NA","NA","69.8"
"2017","Massachusetts","4.6","NA","4.0","NA","190.4","NA","Data not available","NA","Data not available","NA","496.6","NA","Data not available","NA","9.3","NA","9.6 (6.2 - 13.1)","NA","380.0 (363.9 - 396.1)","NA","131.1","NA","5.2","NA","10.3","NA","345.4","NA","NA","70.8","Data not available","NA","NA","89.4 (85.8 - 93.4, 2.2)","NA","87.3","NA","21.9","9.1","NA","NA","79.4"
"2017","Michigan","3.9","NA","2.7","NA","94.9","NA","Data not available","NA","Data not available","NA","598.8","NA","Data not available","NA","3.9","NA","8.5 (5.6 - 11.4)","NA","220.8 (209.6 - 231.9)","NA","186.2","NA","3.3","NA","9.2","NA","185.5","NA","NA","72.2","Data not available","NA","NA","83.0 (79.1 - 87.5, 2.6)","NA","82.7","NA","7.9","5.7","NA","NA","83.7"
"2017","Minnesota","3.1","NA","1.5","NA","82.5","NA","Data not available","NA","Data not available","NA","508.3","NA","Data not available","NA","6.8","NA","5.3 (2.3 - 8.4)","NA","202.7 (190.0 - 215.4)","NA","140.8","NA","2.0","NA","6.0","NA","178.5","NA","NA","69.4","Data not available","NA","NA","86.9 (81.8 - 92.7, 3.2)","NA","87.6","NA","10.6","6.3","NA","NA","78.2"
"2017","Mississippi","9.8","NA","7.0","NA","184.0","NA","Data not available","NA","Data not available","NA","851.8","NA","Data not available","NA","22.4","NA","19.2 (9.4 - 29.0)","NA","466.5 (435.2 - 497.8)","NA","372.8","NA","8.9","NA","17.3","NA","376.0","NA","NA","49.5","Data not available","NA","NA","79.6 (74.6 - 85.3, 3.4)","NA","70.3","NA","9.3","12.5","NA","NA","70.7"
"2017","Missouri","3.4","NA","3.0","NA","122.9","NA","Data not available","NA","Data not available","NA","638.5","NA","Data not available","NA","8.3","NA","10.2 (6.6 - 13.7)","NA","273.8 (258.8 - 288.7)","NA","255.5","NA","4.2","NA","9.8","NA","239.2","NA","NA","66.3","Data not available","NA","NA","86.8 (82.3 - 91.8, 2.8)","NA","72.2","NA","9.7","9.9","NA","NA","80.1"
"2017","Montana","1.2","NA","1.5","NA","37.8","NA","Data not available","NA","Data not available","NA","512.3","NA","Data not available","NA","2.6","NA","Data suppressed","NA","79.7 (69.4 - 96.3)","NA","87.9","NA","1.7","NA","3.6","NA","69.7","NA","NA","79.6","Data not available","NA","NA","87.0 (72.0 - 100.0, 8.2)","NA","87.1","NA","4.4","5.4","NA","NA","88.3"
"2017","Nebraska","2.0","NA","1.5","NA","66.5","NA","Data not available","NA","Data not available","NA","546.6","NA","Data not available","NA","1.7","NA","7.0 (1.1 - 12.9)","NA","158.0 (138.2 - 177.8)","NA","168.8","NA","2.1","NA","5.6","NA","134.5","NA","NA","64.7","Data not available","NA","NA","84.1 (74.8 - 96.2, 6.5)","NA","78.4","NA","13.4","2.7","NA","NA","76.1"
"2017","Nevada","7.8","NA","5.5","NA","185.2","NA","Data not available","NA","Data not available","NA","655.9","NA","Data not available","NA","20.1","NA","22.8 (13.5 - 32.2)","NA","471.8 (444.2 - 499.4)","NA","222.5","NA","7.1","NA","19.9","NA","385.1","NA","NA","Data not available","Data not available","NA","NA","81.0 (76.6 - 86.1, 3.0)","NA","Data not available","NA","9.7","23.7","NA","NA","Data not available"
